Fecha;PM2.5(µg/m³);Xileno(µg/m³);SO2(µg/m³);CO(mg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);Ozono(µg/m³);Tolueno(µg/m³);Benceno(µg/m³);Ruido(dBA)
2016-04-15;18;5.4;6;0.2;39;74;31;134;32;8.0;3.8;62
2016-04-17;3;1.3;3;0.1;4;18;18;24;71;0.7;0.4;58
2016-04-19;6;1.8;4;0.1;8;24;15;37;78;3.3;0.9;62
2016-04-21;9;2.3;3;0.1;15;33;47;55;72;2.3;0.8;62
2016-04-25;6;1.9;3;0.1;23;45;21;81;59;3.5;1.3;59
2016-04-28;8;2.0;5;0.1;8;28;10;39;64;3.6;0.8;64
2016-05-06;11;2.3;6;0.1;13;41;16;60;72;3.4;1.6;63
2016-05-08;11;3.2;3;0.1;8;32;12;44;73;1.4;1.0;64
2016-05-13;5;1.8;3;0.2;20;44;20;74;51;3.0;1.2;61
2016-05-15;6;2.4;4;0.1;9;41;9;55;68;2.0;0.8;58
2016-05-22;12;2.5;3;0.2;5;18;56;25;68;1.1;0.4;60
2016-05-23;6;1.7;5;0.1;18;34;22;61;50;2.8;1.0;59
2016-06-01;9;3.7;3;0.2;18;48;27;75;62;5.3;1.1;60
2016-06-09;11;4.6;4;0.2;23;53;19;88;43;6.5;1.7;61
2016-06-10;16;2.9;4;0.2;14;38;21;59;51;3.3;0.9;62
2016-06-13;10;4.9;4;0.1;27;53;25;94;38;5.5;1.3;60
2016-06-14;10;3.7;3;0.1;24;43;22;80;41;4.9;1.0;60
2016-06-20;6;3.6;3;0.2;27;48;22;89;46;5.1;1.4;59
2016-06-21;7;4.4;3;0.2;29;58;24;102;43;5.6;1.3;59
2016-06-24;11;5.0;3;;20;49;22;79;51;5.2;1.1;62
2016-06-27;10;3.3;3;0.2;23;44;20;79;43;4.0;1.0;61
2016-07-02;11;3.3;3;;12;30;15;48;39;2.8;0.6;61
2016-07-03;12;2.7;3;0.1;9;25;17;38;43;1.9;0.3;60
2016-07-06;9;;3;0.1;26;57;21;97;44;;;60
2016-07-07;8;;3;0.2;25;62;22;99;42;;;61
2016-07-10;9;4.8;3;0.2;8;35;14;47;62;2.9;0.6;58
2016-07-12;13;4.3;3;0.2;18;37;22;64;50;4.6;0.9;60
2016-07-17;5;4.1;4;0.1;8;33;9;46;61;2.1;0.5;57
2016-07-18;6;4.6;3;0.2;20;53;12;83;44;5.1;1.1;60
2016-07-21;11;3.6;3;0.2;14;38;16;59;42;5.3;1.1;62
2016-08-01;9;2.1;4;0.2;18;34;16;62;29;3.2;1.0;61
2016-08-02;8;3.0;3;0.2;19;41;16;71;30;5.2;0.7;61
2016-08-03;9;3.7;3;0.2;17;36;16;62;42;4.7;0.9;60
2016-08-04;9;2.8;3;0.2;15;35;15;58;51;5.4;0.6;60
2016-08-05;9;2.8;3;0.2;17;35;16;60;34;6.3;0.9;61
2016-08-06;6;2.6;6;0.2;14;40;13;61;36;2.7;0.6;60
2016-08-07;6;3.5;3;0.2;7;29;9;40;55;1.9;0.4;59
2016-08-10;5;4.6;3;0.1;17;44;10;70;56;3.5;0.8;61
2016-08-11;8;4.6;3;0.2;24;53;18;89;46;8.2;1.2;60
2016-08-13;7;4.6;3;0.2;9;34;11;48;87;2.3;0.5;59
2016-08-14;7;3.8;3;0.1;7;29;9;40;81;1.7;0.3;58
2016-08-15;5;3.8;3;0.1;7;26;7;37;84;1.5;0.3;58
2016-08-18;14;2.9;3;0.2;14;27;19;49;59;2.6;0.5;60
2016-08-19;18;3.0;3;0.2;14;31;23;54;57;3.0;0.7;61
2016-08-20;18;2.6;3;0.2;9;23;21;36;42;2.1;0.5;60
2016-08-27;6;4.1;4;0.1;9;31;8;45;62;2.7;0.5;59
2016-08-30;8;2.6;3;0.2;15;29;12;52;50;3.6;0.7;60
2016-09-08;8;;3;0.2;;;12;;;;;60
2016-09-11;11;;4;0.1;;;12;;;;;59
2016-09-13;10;4.2;4;0.2;30;57;13;104;;7.3;1.5;60
2016-09-14;3;3.1;3;0.1;20;38;15;69;54;3.4;0.8;61
2016-09-15;4;2.3;4;0.3;34;54;25;106;42;7.6;1.5;58
2016-09-18;1;1.5;4;0.1;11;33;4;49;48;2.5;0.6;57
2016-09-19;4;4.1;3;0.1;32;55;14;105;40;6.9;1.6;58
2016-09-20;4;5.3;3;0.2;34;54;13;106;39;10.3;1.9;58
2016-09-26;6;5.6;3;0.4;21;48;8;81;32;8.9;1.8;62
2016-10-04;9;5.6;3;0.4;24;37;14;73;29;6.6;1.5;62
2016-10-08;7;5.8;3;0.3;14;35;11;57;29;5.6;1.4;60
2016-10-09;4;3.7;3;0.2;6;15;8;24;52;3.1;1.2;59
2016-10-10;4;4.2;3;0.3;11;20;7;37;48;4.9;1.3;58
2016-10-11;8;5.4;3;0.3;20;40;14;70;49;6.3;2.0;58
2016-10-13;4;4.1;3;0.2;16;31;6;55;28;4.6;1.2;60
2016-10-15;6;4.2;3;0.2;12;50;8;69;33;4.6;1.5;57
2016-10-21;5;7.1;3;;22;39;7;72;31;7.3;1.8;60
2016-10-22;12;5.9;3;;17;35;13;61;28;5.7;1.3;59
2016-10-24;8;6.8;3;;30;42;14;87;16;10.4;1.8;60
2016-10-25;11;6.5;3;;39;44;15;104;11;11.2;2.2;62
2016-10-26;11;7.3;3;;45;47;20;116;7;13.3;2.4;60
2016-10-29;16;8.0;;;28;56;24;99;19;12.4;2.2;62
2016-10-30;9;5.3;;;18;41;15;68;28;5.6;1.8;60
2016-11-02;13;7.5;7;;69;69;22;175;14;13.0;2.7;61
2016-11-03;13;7.4;8;;54;58;28;140;16;17.1;2.6;61
2016-11-04;16;7.9;6;;51;59;27;138;9;17.3;2.9;62
2016-11-06;1;1.3;;;9;14;3;28;51;1.0;0.5;60
2016-11-07;3;2.1;;0.2;24;36;12;73;26;5.5;1.7;57
2016-11-08;5;1.8;;0.1;20;31;31;61;33;4.8;1.5;58
2016-11-20;7;1.9;4;0.1;20;28;15;59;38;2.3;1.8;60
2016-11-21;6;5.3;3;0.2;58;56;11;144;12;6.4;2.5;62
2016-11-23;3;1.5;3;0.1;35;48;3;102;17;5.7;1.7;65
2016-11-24;4;0.8;4;0.1;31;37;15;84;26;3.8;1.7;62
2016-11-25;6;0.9;3;0.2;47;51;17;123;21;5.4;2.3;61
2016-11-27;2;0.4;4;0.1;12;23;3;41;42;1.8;1.3;74
2016-11-28;4;3.0;3;0.2;74;66;5;179;16;8.0;2.6;125
2016-11-29;5;0.7;3;0.1;19;38;6;66;19;4.3;1.6;89
2016-12-17;4;0.2;4;0.1;11;16;5;33;63;0.9;1.1;59
2016-12-22;6;4.1;5;0.4;111;75;14;245;13;15.7;3.2;61
2016-12-23;9;3.6;5;0.3;87;68;17;201;4;11.0;3.5;63
2016-12-24;9;2.1;4;0.2;53;53;11;134;9;7.3;3.1;62
2016-12-28;9;3.2;4;0.2;72;53;16;163;13;9.5;3.1;63
2016-12-31;13;1.7;3;0.2;32;48;15;97;18;4.4;2.8;61
2017-01-02;12;2.6;3;0.2;68;56;16;160;11;7.1;3.0;61
2017-01-05;8;2.1;9;0.2;62;58;16;153;12;7.3;2.9;62
